RMC,CCC,Cyclomatic Complexity
24,5.024172838,0
23,5.028551274,0
51,4.942509741,0
28,5.052039865,0
46.5,5.041251276,0
27,5.024348245,0
56,5.048193538,0
33,5.052431032,0
57,5.012755627,0
26,5.028183151,0
54,5.023737228,0
29.5,5.041245363,0
22,4.942755488,0
50.5,5.028449606,0
23,5.024251137,0
30.5,5.056864286,0
49.5,5.028031142,0
39.5,4.973272057,0
35.5,5.056843923,0
39.5,5.052049283,0
54,5.041099981,0
34,5.052284348,0
46.5,4.94241228,0
34.5,4.978046145,0
46.5,4.942764356,0
64,5.04137197,0
48.5,5.023818375,0
26,5.052172694,0
45.5,5.023738298,0
45,4.973402555,0
61.5,4.942392922,0
47,4.91325784,0
34.5,5.057132924,0
43.5,5.024483663,0
32,5.028221327,0
43.5,5.052097712,0
35,4.913609465,0
56.5,5.02834295,0
44.5,5.056855125,0
23,4.977762544,0
33,5.028352501,0
26,4.937934844,0
46.5,5.052560246,0
31.5,5.048491121,0
43.5,5.028540393,0
29.5,5.02896667,0
41.5,5.057132924,0
59,5.057008918,0
38.5,5.057135472,0
51,5.056913275,0
23,4.942629099,0
48.5,5.012877553,0
33.5,4.999595257,0
60,5.057132651,0
22,4.937690952,0
50.5,5.056996967,0
23.5,5.012619929,0
53,5.057000698,0
22,4.937807772,0
26,4.937573655,0
59.5,4.999634706,0
34,4.942745188,0
58.5,5.056767187,0
29,5.048132351,0
43.5,5.023808958,0
23,4.995736762,0
43.5,5.023701791,0
24,5.052724937,0
40,4.633556546,0
45,5.028399268,0
37.5,5.024096643,0
51,5.024003816,0
22,4.942470928,0
48.5,5.052412286,0
26,4.94276388,0
50.5,5.056734154,0
38.5,5.052182417,0
25,5.056745013,0
45.5,5.041245363,0
22,4.937866421,0
52.5,5.023586552,0
35.5,4.999605811,0
45.5,5.057000243,0
32.5,4.978180177,0
43.5,5.024154121,0
38,5.028451248,0
34.5,5.056659463,0
47,5.02855814,0
27,4.942627036,0
43.5,5.019643345,0
28,4.999722435,0
48.5,5.01250923,0
27,5.056637752,0
43.5,5.023944163,0
29.5,4.942392731,0
22,5.023944897,0
57.5,5.05675833,0
32.5,5.023719097,0
28,5.012620389,0
30.5,5.019643131,0
49.5,5.056626165,0
22.5,4.93770079,0
25,5.056923164,0
22,4.937857059,0
27,4.937808249,0
47,5.052601991,0
23,5.024464278,0
58,5.012577447,0
31.5,5.028201362,0
49.5,4.91325784,0
43.5,4.977792026,0
42.5,5.028701331,0
46.5,4.942764356,0
43.5,4.942451379,0
51,4.983256922,0
30,5.052244426,0
25,4.978049261,0
