RMC,CCC
53,5.052405147
45.5,5.052422039
57.5,5.013294983
43,4.942808723
43.5,5.05256052
43.5,5.052156197
42.5,4.942765023
53,5.057143449
43.5,5.028570065
56.5,5.052544205
42.5,5.041779314
46,5.056990748
42.5,5.024353232
42.5,4.938004348
46,5.033700664
42.5,5.02000197
65,5.057059364
61,5.048132685
43,5.024011949
56,5.024013539
45.5,5.028497998
42.5,4.926485767
52.5,5.023944897
42.5,5.057193045
46.5,4.937945096
42.5,5.028559778
44.5,5.028569974
43,5.041250057
61.5,4.937944619
58,5.028502646
42.5,4.978199725
55.5,4.973394074
65,4.938354618
42.5,5.052541288
44.5,5.028712211
59.5,4.926348916
54.5,5.056992711
121.5,5.052253571
49.5,5.052469982
64,4.926348916
57,5.012509874
26.5,4.937935321
59.5,5.052412742
42.5,5.0131522
50.5,5.052588957
65.5,5.056654861
59.5,5.052423892
42.5,4.942764166
64,5.057510005
61,5.02849066
131.5,4.978049072
59.5,5.028578888
48.5,5.023953764
64.5,5.024361946
55.5,5.024096643
56.5,5.057182793
45.5,5.057124603
64,4.978061349
51.5,5.024076463
64.5,5.028371722
141.5,5.024483663
47.5,5.023809478
59.5,5.052544478
22.5,4.938072771
53.5,5.056975339
56.5,5.056770993
50,5.028672187
65,4.978041801
23,5.056986129
47,5.052417846
56.5,5.023719097
45.5,4.999982854
58,5.057000759
42.5,5.052183055
48,4.97781151
43.5,5.02357686
47.5,4.973265152
64,5.041393305
54.5,5.052287234
64,5.056906222
44.5,5.041636371
29,5.048500464
56.5,5.048352315
65,4.973127938
42.5,4.913460851
42.5,4.977926058
46,5.028225723
46,4.961870418
42.5,4.97767474
43,5.041312157
46,5.052821855
46.5,4.937690952
50.5,5.041372397
42.5,5.023585452
114.5,4.913471106
61.5,4.977669465
55.5,5.057123884
61.5,5.028567898
56.5,4.973815994
47,5.019614267
148.5,4.913609753
65,5.04177843
59.5,4.972893646
43.5,5.028578704
64,5.052423193
56.5,4.937934081
42.5,5.052270555
42.5,4.942775323
64,5.041243626
43.5,5.012888656
63.5,5.000086308
64.5,4.978182223
57,5.057181761
56.5,5.028571714
61,5.028434557
42.5,4.942529575
56.5,5.012377887
43.5,5.057143714
52.5,5.037176068
65,5.052137725
45.5,4.942627036
38.5,5.052947343
34,4.942764737
47.5,5.024344548
31,5.052939018
54,4.942392731
40.5,5.028319776
46.5,4.926485767
35,5.02408695
43.5,5.023809203
32,5.057123611
42.5,4.937944905
34.5,5.000380206
43.5,5.028191349
37,5.02414538
44,5.024086614
36.5,5.052541653
42.5,4.913470626
23,5.02855932
47.5,5.023944897
23,4.927013971
45,5.05712433
28,5.028977141
48.5,5.012754185
30,5.023935204
22,4.942814421
45.5,5.052938228
27.5,4.973403659
52,5.023954589
24,5.057000243
58,5.057124066
23,4.93793513
53,5.056994198
27,5.023857665
54,5.057412967
31,5.052534513
23,5.033979536
58,5.057003944
31.5,5.057401955
33.5,5.056990475
35,4.978172258
53,5.028623725
31,5.05257009
42.5,4.942757551
34,4.942902406
43.5,4.937944619
31,4.943166021
41.5,5.052552833
27,4.973265089
34.5,5.041788122
55,5.057136564
33,5.052414838
53.5,5.041300255
37.5,5.041258576
40.5,5.056992711
52,5.052540559
28,5.048489128
48.5,5.053093226
27,4.978046145
42.5,4.937797521
37.5,5.052413714
53,5.052406423
24,5.03731176
36.5,5.05281591
58.5,5.052550706
22,4.938355158
58,5.052831223
23.5,5.028690952
47.5,5.025026897
36.5,5.052830737
51.5,5.056662132
30.5,5.028491088
50.5,5.056996967
22,4.942764166
33,5.04125155
58,5.052531961
22.5,4.942901581
44.5,5.023954589
35,5.041373342
42.5,4.913460851
38.5,5.023945172
47,4.977830963
30,5.057126614
48.5,4.978051591
24,5.028490721
57.5,5.056900505
41,5.056996967
48.5,4.938082546
31.5,5.019963659
